1,3552828,,,3,CSS
2,3556149,,3552828,0,
1,22914995,,,1,JavaScript
1,20697065,,,2,JavaScript
1,13095614,,,0,Java
2,13131011,,13095614,1,
1,241960,,,3,Groovy
2,242041,,241960,5,
1,20372906,,,0,PHP
2,20373221,,20372906,0,
2,20373607,,20372906,0,
1,5013870,,,0,Java
1,18952190,,,0,Java
1,27974874,,,0,CSS
1,20681555,,,0,C#
1,14551486,,,0,PHP
2,14552096,,14551486,0,
1,19403531,,,0,JavaScript
1,22088829,,,2,C#
1,6178154,,,3,Python
2,6179391,,6178154,3,
2,21347162,,6178154,0,
2,19074353,,6178154,1,
1,18193234,,,-1,Python
1,4553223,,,1,C++
1,26307549,,,0,Java
2,26307661,,26307549,0,
1,19489353,,,2,JavaScript
1,19175534,,,0,JavaScript
1,15321299,,,0,JavaScript
1,1588228,,,0,C#
2,1588338,,1588228,0,
2,20972187,,1588228,0,
2,20972675,,1588228,0,
1,14171491,,,4,C#
2,14171566,,14171491,2,
2,14171830,,14171491,3,
2,21432857,,14171491,0,
1,15467610,,,6,C++
2,15475692,,15467610,1,
1,20964871,,,1,C#
1,12916732,,,9,C#
2,28746376,,12916732,3,
1,2822824,,,0,C#
2,2931509,,2822824,0,
1,19770084,,,5,C#
1,24491328,,,2,Java
2,28467633,,24491328,0,
2,24521443,,24491328,1,
1,17520100,,,1,JavaScript
1,14310047,,,1,Python
1,18123956,,,4,C#
2,18125104,,18123956,2,
1,9961043,,,6,Java
2,9961201,,9961043,2,
1,678308,,,3,Python
2,1336541,,678308,1,
2,5085766,,678308,0,
1,14467215,,,-3,PHP
2,14467294,,14467215,0,
1,1493617,,,34,Java
2,10490448,,1493617,12,
1,17215587,,,1,JavaScript
2,17215673,,17215587,2,
2,17215705,,17215587,0,
2,17215712,,17215587,0,
2,17215751,,17215587,0,
2,17215977,,17215587,0,
1,4275077,,,2,JavaScript
2,4275164,,4275077,1,
2,4275215,,4275077,1,
2,20980620,,4275077,1,
1,8044007,,,0,PHP
2,8044078,,8044007,-1,
2,8044108,,8044007,1,
2,8044142,,8044007,2,
2,8044297,,8044007,0,
1,22359737,,,0,Python
2,22359816,,22359737,4,
1,14969739,,,6,Python
2,14969798,,14969739,8,
1,18225805,,,1,Python
2,18226025,,18225805,1,
2,18226050,,18225805,1,
1,22424879,,,0,Java
2,22425065,,22424879,0,
1,17164921,,,0,PHP
2,17164967,,17164921,2,
1,1035555,,,0,Perl
1,12892950,,,1,Java
2,12893111,,12892950,2,
2,12893118,,12892950,0,
1,9484886,,,3,Objective-C
2,9484934,,9484886,1,
2,9484960,,9484886,1,
2,9484999,,9484886,3,
2,9485132,,9484886,1,
2,9486075,,9484886,2,
1,21079645,,,1,Ruby
2,21079716,,21079645,0,
2,21079721,,21079645,1,
2,21079790,,21079645,5,
1,8843289,,,0,Java
2,8853696,,8843289,1,
1,6980021,,,0,Java
1,10865276,,,-2,C#
2,10865343,,10865276,1,
1,6344628,,,0,Objective-C
2,6344858,,6344628,0,
